GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons IO,org.apache.commons.io.input,CloseShieldInputStream,0,10,0,0,0,4,0,2,0,2
Commons IO,org.apache.commons.io.input,NullReader,5,253,0,26,2,61,2,26,2,13
Commons IO,org.apache.commons.io.input,ClosedInputStream,0,10,0,0,0,3,0,3,0,3
Commons IO,org.apache.commons.io.input,CountingInputStream,0,126,0,10,0,26,0,14,0,9
Commons IO,org.apache.commons.io.input,CharSequenceReader,43,127,5,15,4,33,6,13,1,8
Commons IO,org.apache.commons.io.input,ClassLoaderObjectInputStream,4,18,1,1,1,6,1,2,0,2
Commons IO,org.apache.commons.io.input,NullInputStream,7,272,1,29,3,66,3,28,2,14
Commons IO,org.apache.commons.io.input,DemuxInputStream,11,31,3,1,5,9,3,4,1,4
Commons IO,org.apache.commons.io.input,AutoCloseInputStream,0,55,0,6,0,20,0,9,0,6
Commons IO,org.apache.commons.io.input,ProxyInputStream,8,38,0,0,3,11,2,8,2,8
Commons IO,org.apache.commons.io.input,SwappedDataInputStream,6,96,2,4,1,25,2,17,0,16
Commons IO,org.apache.commons.io.input,TeeInputStream,19,60,4,6,4,18,3,8,1,5
Commons IO,org.apache.commons.io.input,ProxyReader,46,0,0,0,14,0,10,0,10,0
Commons IO,org.apache.commons.io.output,CountingOutputStream,0,98,0,4,0,23,0,10,0,8
Commons IO,org.apache.commons.io.output,ProxyOutputStream,4,25,0,0,2,10,1,5,1,5
Commons IO,org.apache.commons.io.output,ThresholdingOutputStream,28,81,0,6,10,22,4,10,4,7
Commons IO,org.apache.commons.io.output,NullOutputStream,0,11,0,0,0,5,0,5,0,5
Commons IO,org.apache.commons.io.output,FileWriterWithEncoding,141,78,5,7,39,29,18,8,14,6
Commons IO,org.apache.commons.io.output,ProxyWriter,41,0,0,0,16,0,8,0,8,0
Commons IO,org.apache.commons.io.output,CloseShieldOutputStream,0,10,0,0,0,4,0,2,0,2
Commons IO,org.apache.commons.io.output,DeferredFileOutputStream,5,128,0,12,0,38,0,15,0,9
Commons IO,org.apache.commons.io.output,LockableFileWriter,122,174,6,14,34,48,16,12,11,7
Commons IO,org.apache.commons.io.output,TeeOutputStream,12,35,0,0,6,12,2,4,2,4
Commons IO,org.apache.commons.io.output,ClosedOutputStream,0,22,0,0,0,3,0,3,0,3
Commons IO,org.apache.commons.io.output,NullWriter,0,15,0,0,0,10,0,9,0,9
Commons IO,org.apache.commons.io.output,ByteArrayOutputStream,21,390,8,30,2,91,8,26,0,15
Commons IO,org.apache.commons.io.output,DemuxOutputStream,18,32,5,1,8,10,5,4,2,4
Commons IO,org.apache.commons.io,LineIterator,14,94,1,15,4,34,1,15,0,8
Commons IO,org.apache.commons.io,DirectoryWalker,1,200,0,26,1,55,1,27,1,14
Commons IO,org.apache.commons.io,EndianUtils,8,811,1,3,3,84,2,31,1,30
Commons IO,org.apache.commons.io,FileUtils,587,1732,66,248,88,392,67,156,12,54
Commons IO,org.apache.commons.io,FilenameUtils,13,1228,8,274,5,284,9,169,1,36
Commons IO,org.apache.commons.io,FileSystemUtils,67,618,24,71,14,128,22,38,0,11
Commons IO,org.apache.commons.io,FileCleaningTracker.Tracker,0,24,0,2,0,5,0,3,0,2
Commons IO,org.apache.commons.io,FileCleaner,31,7,0,0,12,2,7,2,7,2
Commons IO,org.apache.commons.io,FileDeleteStrategy.ForceFileDeleteStrategy,0,8,0,0,0,4,0,2,0,2
Commons IO,org.apache.commons.io,FileDeleteStrategy,3,62,0,8,2,13,0,10,0,6
Commons IO,org.apache.commons.io,IOUtils,126,575,28,80,42,186,27,77,9,41
Commons IO,org.apache.commons.io,IOExceptionWithCause,2,19,1,1,0,6,1,2,0,2
Commons IO,org.apache.commons.io,HexDump,3,297,0,24,2,37,1,16,1,4
Commons IO,org.apache.commons.io,IOCase,3,174,2,28,1,30,2,26,0,13
Commons IO,org.apache.commons.io,FileCleaningTracker,5,112,1,9,0,30,1,12,0,8
Commons IO,org.apache.commons.io,DirectoryWalker.CancelException,0,25,0,0,0,9,0,4,0,4
Commons IO,org.apache.commons.io,FileCleaningTracker.Reaper,0,48,1,5,0,17,1,4,0,2
Commons IO,org.apache.commons.io,CopyUtils,24,108,0,4,7,33,3,10,3,8
Commons IO,org.apache.commons.io.filefilter,AbstractFileFilter,18,18,2,0,3,3,2,3,1,3
Commons IO,org.apache.commons.io.filefilter,AndFileFilter,59,116,9,17,13,35,7,16,2,8
Commons IO,org.apache.commons.io.filefilter,PrefixFileFilter,51,127,9,17,10,33,7,15,1,8
Commons IO,org.apache.commons.io.filefilter,WildcardFilter,0,107,1,19,0,27,1,14,0,5
Commons IO,org.apache.commons.io.filefilter,FileFileFilter,0,11,0,0,0,4,0,3,0,3
Commons IO,org.apache.commons.io.filefilter,HiddenFileFilter,0,16,0,0,0,5,0,3,0,3
Commons IO,org.apache.commons.io.filefilter,DelegateFileFilter,30,53,3,7,3,17,3,7,1,4
