GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.input,CountingInputStream,0,125,0,10,0,26,0,14,0,9
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.input,ProxyInputStream,17,29,0,0,7,7,4,6,4,6
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.input,NullInputStream,7,271,1,29,3,68,3,28,2,14
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.input,ProxyReader,46,0,0,0,14,0,10,0,10,0
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.input,ClassLoaderObjectInputStream,4,18,1,1,1,6,1,2,0,2
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.input,NullReader,5,252,0,26,2,63,2,26,2,13
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.input,DemuxInputStream,10,30,3,1,5,9,3,4,1,4
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.input,SwappedDataInputStream,6,95,2,4,1,26,2,17,0,16
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.output,ThresholdingOutputStream,21,81,0,6,7,22,3,10,3,7
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.output,LockableFileWriter,120,168,6,14,34,47,16,12,11,7
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.output,TeeOutputStream,12,35,0,0,6,12,2,4,2,4
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.output,NullWriter,0,10,0,0,0,9,0,8,0,8
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.output,DeferredFileOutputStream,3,91,0,8,1,29,1,11,1,7
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.output,ProxyWriter,41,0,0,0,16,0,8,0,8,0
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.output,ProxyOutputStream,4,25,0,0,2,10,1,5,1,5
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.output,DemuxOutputStream,16,31,5,1,8,10,5,4,2,4
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.output,ByteArrayOutputStream,15,327,8,26,3,85,8,23,0,14
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.output,CountingOutputStream,0,96,0,4,0,23,0,10,0,8
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.output,NullOutputStream,0,6,0,0,0,4,0,4,0,4
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io,DirectoryWalker,2,199,0,26,2,56,2,26,2,13
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io,EndianUtils,8,811,1,3,3,118,2,31,1,30
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io,FileSystemUtils,66,594,23,70,16,138,21,38,0,11
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io,FileDeleteStrategy,3,60,0,8,2,13,0,10,0,6
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io,FileCleaningTracker,0,110,1,9,0,29,1,12,0,8
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io,FileDeleteStrategy.ForceFileDeleteStrategy,0,8,0,0,0,4,0,2,0,2
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io,FileCleaningTracker.Tracker,0,24,0,2,0,5,0,3,0,2
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io,CopyUtils,24,108,0,4,7,33,3,10,3,8
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io,FileCleaningTracker.Reaper,0,48,1,5,0,14,1,4,0,2
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io,DirectoryWalker.CancelException,0,25,0,0,0,9,0,4,0,4
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io,FileCleaner,31,7,0,0,12,2,7,2,7,2
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io,FilenameUtils,13,1212,8,270,6,286,9,167,1,36
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io,IOUtils,127,574,28,80,38,189,27,77,9,41
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io,HexDump,3,310,0,24,2,51,1,16,1,4
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io,IOCase,4,152,2,22,1,28,2,22,0,12
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io,FileUtils,458,1266,59,173,84,319,60,114,12,46
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io,LineIterator,14,93,1,15,5,33,1,15,0,8
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,WildcardFileFilter,1,131,1,19,0,33,1,17,0,8
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,DirectoryFileFilter,0,13,0,0,0,5,0,3,0,3
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,SuffixFileFilter,0,92,0,14,0,24,0,12,0,5
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,EmptyFileFilter,0,37,1,7,0,8,1,6,0,3
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,SizeFileFilter,0,44,0,8,0,10,0,7,0,3
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,CanWriteFileFilter,0,16,0,0,0,5,0,3,0,3
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,FileFilterUtils,15,154,0,12,5,38,4,28,4,22
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,AndFileFilter,7,116,1,17,2,34,2,16,1,8
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,AgeFileFilter,0,52,0,4,0,16,0,9,0,7
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/java",org.apache.commons.io.filefilter,HiddenFileFilter,0,16,0,0,0,5,0,3,0,3
