GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.input,DemuxInputStream,10,30,3,1,5,9,3,4,1,4
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.input,AutoCloseInputStream,5,50,0,6,3,17,1,8,1,5
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.input,CountingInputStream,0,125,0,10,0,26,0,14,0,9
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.input,TeeInputStream,10,60,2,6,5,18,2,8,1,5
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.input,NullReader,5,252,0,26,2,63,2,26,2,13
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.input,ProxyReader,46,0,0,0,14,0,10,0,10,0
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.input,ClassLoaderObjectInputStream,4,18,1,1,1,6,1,2,0,2
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.input,ClosedInputStream,0,10,0,0,0,3,0,3,0,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.input,CloseShieldInputStream,0,10,0,0,0,4,0,2,0,2
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.input,ProxyInputStream,8,38,0,0,3,11,2,8,2,8
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.input,SwappedDataInputStream,6,95,2,4,1,26,2,17,0,16
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.input,CharSequenceReader,41,127,5,15,6,33,6,13,1,8
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.input,NullInputStream,7,271,1,29,3,68,3,28,2,14
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.output,ByteArrayOutputStream,15,389,8,30,3,97,8,26,0,15
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.output,ClosedOutputStream,0,21,0,0,0,3,0,3,0,3
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.output,FileWriterWithEncoding,141,78,5,7,40,28,18,8,14,6
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.output,LockableFileWriter,120,168,6,14,34,47,16,12,11,7
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.output,DemuxOutputStream,16,31,5,1,8,10,5,4,2,4
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.output,DeferredFileOutputStream,0,127,0,12,0,39,0,15,0,9
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.output,ThresholdingOutputStream,28,81,0,6,10,22,4,10,4,7
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.output,CountingOutputStream,0,96,0,4,0,23,0,10,0,8
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.output,ProxyWriter,41,0,0,0,16,0,8,0,8,0
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.output,NullOutputStream,0,11,0,0,0,5,0,5,0,5
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.output,TeeOutputStream,12,35,0,0,6,12,2,4,2,4
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.output,NullWriter,0,15,0,0,0,10,0,9,0,9
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.output,ProxyOutputStream,4,25,0,0,2,10,1,5,1,5
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io.output,CloseShieldOutputStream,0,10,0,0,0,4,0,2,0,2
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io,FileCleaner,31,7,0,0,12,2,7,2,7,2
"v1.4 (Apr 4, 2019 12:17:51 AM)/v1.4/src/java",org.apache.commons.io,DirectoryWalker.CancelException,0,25,0,0,0,9,0,4,0,4
