Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,IO-248,12474052,getFullPathNoEndSeparator return empty while path is one level directory,niallp,hippospark,Minor,Closed,Fixed,14/Sep/10 10:09,10/Nov/11 18:09,
Bug,IO-246,12470151,FilenameUtils.wildcardMatch gives incorrect results,niallp,vva,Minor,Closed,Fixed,26/Jul/10 09:17,10/Nov/11 18:09,
Bug,IO-243,12461076,SwappedDataInputStream readBoolean is inverted,niallp,raymyers,Minor,Closed,Fixed,03/Apr/10 00:35,10/Nov/11 18:09,
Bug,IO-240,12458195,FileFilterUtils can create cvsFilter and svnFilter more than once,niallp,sebb@apache.org,Minor,Closed,Fixed,05/Mar/10 00:15,10/Nov/11 18:09,
Bug,IO-235,12458153,Bugs in CopyUtilsTest test cases?,niallp,sebb@apache.org,Major,Closed,Fixed,04/Mar/10 17:51,10/Nov/11 18:09,
Bug,IO-231,12458124,FileUtils generate wrong exception message in isFileNewer method,,sever,Major,Closed,Fixed,04/Mar/10 13:40,21/Jul/10 17:00,
Bug,IO-223,12440913,IOUtils.copy Javadoc inconsistency (return -1 vs. throw ArithmeticException),,hattifnat,Major,Closed,Fixed,17/Nov/09 09:32,13/Mar/12 20:59,
Bug,IO-220,12438957,FileCleaningTracker Vector performs badly under load,niallp,mhaverkamp,Major,Closed,Fixed,23/Oct/09 20:32,10/Nov/11 18:09,
Bug,IO-217,12433759,FileUtils.copyDirectoryToDirectory makes infinite loops,niallp,tora_5675,Major,Closed,Fixed,22/Aug/09 03:26,10/Nov/11 18:09,
Bug,IO-216,12433494,Delete files quietly when an exception is thrown during initialization,,sebb@apache.org,Major,Closed,Fixed,19/Aug/09 17:54,10/Nov/11 18:09,
Bug,IO-215,12433493,FileUtils copy methods swallow date modification failures,,sebb@apache.org,Major,Closed,Fixed,19/Aug/09 17:50,10/Nov/11 18:09,
Bug,IO-214,12433491,Inconsistent synchronization of fields,,sebb@apache.org,Major,Closed,Fixed,19/Aug/09 17:43,10/Nov/11 18:09,
Bug,IO-213,12433415,LineIterator should  implement Iterator<String> as well/instead of Iterator,,robertc,Trivial,Closed,Fixed,19/Aug/09 05:26,13/Mar/12 21:00,
Bug,IO-212,12433266,Incorrect ProxyInputStream.skip() javadoc,jukkaz,jukkaz,Trivial,Closed,Fixed,17/Aug/09 21:43,21/Jul/10 17:00,
Bug,IO-209,12431235,FileSystemUtils.freeSpaceKb fails to return correct size for a windows mount point,niallp,adityakishore,Major,Closed,Fixed,23/Jul/09 10:36,10/Nov/11 18:09,
Bug,IO-207,12425772,Race condition in forceMkdir,,luke-nuix,Minor,Closed,Fixed,18/May/09 23:24,13/Mar/12 21:00,
Bug,IO-206,12425736,ProxyInputStream: misleading parameter names,niallp,jeremias@apache.org,Minor,Closed,Fixed,18/May/09 16:46,21/Jul/10 17:00,
Bug,IO-205,12425545,FileUtils.forceMkdir Javadoc is unclear,,trejkaz,Major,Closed,Fixed,15/May/09 01:27,13/Mar/12 21:01,
Bug,IO-204,12425101,Manifest for OSGi has invalid syntax,,bjornharvold,Major,Closed,Fixed,11/May/09 14:33,10/Nov/11 18:09,
Bug,IO-202,12423804,NotFileFilter documentation is incorrect,niallp,mattflaschen,Major,Closed,Fixed,26/Apr/09 17:31,21/Jul/10 17:00,
Bug,IO-201,12419497,CountingInputStream/CountingOutputStream only partially synchronized,niallp,sebb@apache.org,Major,Closed,Fixed,26/Mar/09 13:59,10/Nov/11 18:09,
Bug,IO-196,12414797,Occasional FileSystemObserver test failures,,jukkaz,Minor,Closed,Fixed,14/Feb/09 10:26,10/Nov/11 18:09,
Bug,IO-190,12411470,"FileUtils.copyDirectory preserves destination subdirectories, rather than overwriting with the source subdirectories",,topramen,Trivial,Closed,Fixed,30/Dec/08 15:03,10/Nov/11 18:09,
Bug,IO-187,12410717,FileSystemUtils.freeSpaceKb doesn't work with relative paths on Linux,,cormacb,Major,Closed,Fixed,15/Dec/08 16:19,13/Mar/12 21:02,
Bug,IO-185,12407798,FileSystemUtils.freeSpaceWindows blocks,niallp,theli,Major,Closed,Fixed,04/Nov/08 16:53,10/Nov/11 18:09,
Bug,IO-180,12403920,LineIterator documentation ,,mdernst,Minor,Closed,Fixed,08/Sep/08 18:03,17/Aug/09 21:45,
Bug,IO-179,12402775,StringIndexOutOfBounds exception on FilenameUtils.getPathNoEndSeparator,niallp,francisco,Major,Closed,Fixed,21/Aug/08 10:09,21/Jul/10 17:00,
Bug,IO-175,12401575,IOUtils.doCopyFile() issues with very large files and closing file input streams,niallp,sits,Minor,Closed,Fixed,04/Aug/08 06:27,21/Jul/10 17:00,
Bug,IO-168,12395338,Symbolic links (symlinks) followed when deleting directory.,niallp,tlerios,Major,Closed,Fixed,05/May/08 17:02,17/Feb/17 10:30,
Bug,IO-167,12394798,Fix case-insensitive string handling,niallp,bentmann,Major,Closed,Fixed,25/Apr/08 12:48,22/Aug/08 07:36,
Bug,IO-166,12394781,Fix URL decoding in FileUtils.toFile(),,bentmann,Minor,Closed,Fixed,25/Apr/08 09:47,10/Nov/11 18:09,
Bug,IO-163,12393699,FileUtils.toURLs() uses deprecated (and bad) method of conversion to URL,niallp,puredanger,Minor,Closed,Fixed,10/Apr/08 20:27,22/Aug/08 07:36,
Bug,IO-161,12392872,FileCleaningTrackerTestCase hangs,niallp,vigna,Major,Closed,Fixed,01/Apr/08 21:42,21/Jul/10 17:00,
