GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"commons-fileupload2 (Apr 4, 2019 2:41:23 AM)/commons-fileupload2/src/main/java",org.apache.commons.fileupload2.disk,DiskFileItem,114,321,18,34,28,91,22,31,6,21
"commons-fileupload2 (Apr 4, 2019 2:41:23 AM)/commons-fileupload2/src/main/java",org.apache.commons.fileupload2.disk,DiskFileItemFactory,16,60,1,1,6,21,4,8,3,8
"commons-fileupload2 (Apr 4, 2019 2:41:23 AM)/commons-fileupload2/src/main/java",org.apache.commons.fileupload2.util,Streams,27,107,2,18,7,34,4,11,2,3
"commons-fileupload2 (Apr 4, 2019 2:41:23 AM)/commons-fileupload2/src/main/java",org.apache.commons.fileupload2.util,FileItemHeadersImpl,0,76,0,6,0,20,0,8,0,5
"commons-fileupload2 (Apr 4, 2019 2:41:23 AM)/commons-fileupload2/src/main/java",org.apache.commons.fileupload2.util,LimitedInputStream,22,42,2,4,6,14,2,7,1,5
"commons-fileupload2 (Apr 4, 2019 2:41:23 AM)/commons-fileupload2/src/main/java",org.apache.commons.fileupload2.servlet,ServletRequestContext,23,30,0,0,4,10,1,6,1,6
"commons-fileupload2 (Apr 4, 2019 2:41:23 AM)/commons-fileupload2/src/main/java",org.apache.commons.fileupload2.servlet,ServletFileUpload,13,28,2,0,3,7,2,5,1,5
"commons-fileupload2 (Apr 4, 2019 2:41:23 AM)/commons-fileupload2/src/main/java",org.apache.commons.fileupload2.servlet,FileCleanerCleanup,36,0,0,0,12,0,6,0,6,0
"commons-fileupload2 (Apr 4, 2019 2:41:23 AM)/commons-fileupload2/src/main/java",org.apache.commons.fileupload2,FileUploadBase.IOFileUploadException,0,10,0,0,0,4,0,2,0,2
"commons-fileupload2 (Apr 4, 2019 2:41:23 AM)/commons-fileupload2/src/main/java",org.apache.commons.fileupload2,FileUploadBase.FileItemIteratorImpl,45,342,12,38,13,90,12,18,0,5
"commons-fileupload2 (Apr 4, 2019 2:41:23 AM)/commons-fileupload2/src/main/java",org.apache.commons.fileupload2,DiskFileUpload,41,16,0,0,13,6,6,3,6,3
"commons-fileupload2 (Apr 4, 2019 2:41:23 AM)/commons-fileupload2/src/main/java",org.apache.commons.fileupload2,InvalidFileNameException,0,10,0,0,0,4,0,2,0,2
"commons-fileupload2 (Apr 4, 2019 2:41:23 AM)/commons-fileupload2/src/main/java",org.apache.commons.fileupload2,DefaultFileItem,0,9,0,0,0,3,0,1,0,1
"commons-fileupload2 (Apr 4, 2019 2:41:23 AM)/commons-fileupload2/src/main/java",org.apache.commons.fileupload2,FileUploadBase,148,463,20,38,39,122,28,30,12,17
