GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,FileUploadBase.FileUploadIOException,0,9,0,0,0,4,0,2,0,2
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,FileUploadBase.UnknownSizeException,7,0,0,0,4,0,2,0,2,0
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,MultipartStream.ProgressNotifier,0,39,0,2,0,12,0,5,0,4
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,MultipartStream.ItemInputStream,54,291,12,34,16,67,11,23,2,9
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,FileUploadBase.SizeLimitExceededException,18,0,0,0,6,0,3,0,3,0
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,DefaultFileItem,0,9,0,0,0,3,0,1,0,1
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,FileUploadBase.IOFileUploadException,0,10,0,0,0,4,0,2,0,2
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,DefaultFileItemFactory,0,20,0,0,0,6,0,3,0,3
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,FileUploadException,33,15,4,0,12,6,5,3,3,3
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,ParameterParser,15,421,8,70,4,92,9,42,1,11
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,FileUploadBase,156,370,21,31,43,103,31,23,14,14
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,FileItemStream.ItemSkippedException,3,0,0,0,1,0,1,0,1,0
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,MultipartStream.MalformedStreamException,3,4,0,0,2,2,1,1,1,1
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,FileUploadBase.new LimitedInputStream() {...},34,0,0,0,9,0,2,0,2,0
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,DiskFileUpload,49,8,0,0,16,3,8,1,8,1
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,FileUploadBase.FileSizeLimitExceededException,0,6,0,0,0,2,0,1,0,1
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,FileUploadBase.FileItemIteratorImpl.FileItemStreamImpl,50,77,5,5,14,22,5,9,1,8
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,FileUploadBase.new LimitedInputStream() {...},0,43,0,0,0,10,0,2,0,2
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,MultipartStream.IllegalBoundaryException,7,0,0,0,4,0,2,0,2,0
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,MultipartStream,100,493,6,38,23,103,10,31,4,15
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,FileUpload,0,16,0,0,0,8,0,4,0,4
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,FileUploadBase.InvalidContentTypeException,3,4,0,0,2,2,1,1,1,1
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,FileUploadBase.FileItemIteratorImpl,75,263,17,33,19,76,14,16,0,5
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload,FileUploadBase.SizeException,3,13,0,0,1,5,1,2,1,2
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload.portlet,PortletFileUpload,27,0,0,0,8,0,5,0,5,0
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload.portlet,PortletRequestContext,36,0,0,0,11,0,6,0,6,0
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload.disk,DiskFileItemFactory,17,45,1,1,7,15,4,6,3,6
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload.disk,DiskFileItem,229,352,34,30,57,99,29,30,7,20
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload.util,FileItemHeadersImpl,0,83,0,6,0,22,0,8,0,5
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload.util,LimitedInputStream,22,42,2,4,6,14,2,7,1,5
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload.util,Streams,36,83,6,16,7,29,8,7,2,2
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload.servlet,FileCleanerCleanup,50,0,2,0,12,0,7,0,6,0
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload.servlet,ServletFileUpload,24,21,6,0,8,6,4,4,1,4
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/java",org.apache.commons.fileupload.servlet,ServletRequestContext,14,22,0,0,4,7,1,5,1,5
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/test",org.apache.commons.fileupload,ProgressListenerTest.ProgressListenerImpl,8,91,7,13,0,15,7,6,0,3
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/test",org.apache.commons.fileupload,MockPortletSession,66,0,0,0,23,0,17,0,17,0
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/test",org.apache.commons.fileupload,FileUploadTestCase,0,36,0,0,0,8,0,4,0,4
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/test",org.apache.commons.fileupload,SizesTest,9,237,1,13,2,52,1,9,0,3
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/test",org.apache.commons.fileupload,MockHttpServletRequest,104,56,1,1,52,18,51,6,50,6
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/test",org.apache.commons.fileupload,StreamingTest.new InputStream() {...},4,18,0,0,1,2,1,2,1,2
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/test",org.apache.commons.fileupload,StreamingTest,20,328,2,14,4,79,2,17,0,11
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/test",org.apache.commons.fileupload,MockPortletRequest,87,0,2,0,40,0,36,0,35,0
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/test",org.apache.commons.fileupload,ProgressListenerTest.new MockHttpServletRequest() {...},0,10,0,0,0,2,0,2,0,2
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/test",org.apache.commons.fileupload,DefaultFileItemTest,6,789,1,15,4,178,1,18,0,11
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/test",org.apache.commons.fileupload,ProgressListenerTest,14,151,2,10,1,33,2,7,0,3
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/test",org.apache.commons.fileupload,ParameterParserTest,31,273,3,1,3,60,3,6,1,6
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/test",org.apache.commons.fileupload,ServletFileUploadTest,17,379,0,0,8,102,0,9,0,9
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/test",org.apache.commons.fileupload,FileItemHeadersTest,0,147,0,0,0,39,0,2,0,2
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/test",org.apache.commons.fileupload,MockHttpServletRequest.MyServletInputStream,4,13,0,0,1,4,1,2,1,2
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/test",org.apache.commons.fileupload,StreamingTest.new FilterInputStream() {...},8,44,4,4,2,8,3,4,0,3
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/test",org.apache.commons.fileupload,MultipartStreamTest,0,61,0,0,0,21,0,3,0,3
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/test",org.apache.commons.fileupload,HttpServletRequestFactory,33,18,2,0,9,8,3,2,2,2
"commons-fileupload (Apr 4, 2019 4:29:55 AM)/commons-fileupload/src/test",org.apache.commons.fileupload,DiskFileItemSerializeTest,74,325,4,10,12,81,4,12,0,9
