GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Sling API,org.apache.sling.api.adapter,SlingAdaptable,62,3,12,0,18,1,9,1,3,1
Apache Sling API,org.apache.sling.api.servlets,SlingSafeMethodsServlet.NoBodyOutputStream,36,0,2,0,11,0,7,0,6,0
Apache Sling API,org.apache.sling.api.servlets,SlingSafeMethodsServlet,333,0,36,0,83,0,31,0,13,0
Apache Sling API,org.apache.sling.api.servlets,SlingSafeMethodsServlet.NoBodyResponse,53,0,4,0,15,0,7,0,5,0
Apache Sling API,org.apache.sling.api.servlets,HtmlResponse,482,0,42,0,122,0,51,0,29,0
Apache Sling API,org.apache.sling.api.servlets,HttpConstants,3,0,0,0,1,0,1,0,1,0
Apache Sling API,org.apache.sling.api.servlets,SlingAllMethodsServlet,126,0,18,0,29,0,16,0,7,0
Apache Sling API,org.apache.sling.api.servlets,ServletResolverConstants,3,0,0,0,1,0,1,0,1,0
Apache Sling API,org.apache.sling.api.auth,NoAuthenticationHandlerException,3,0,0,0,2,0,1,0,1,0
Apache Sling API,org.apache.sling.api.auth,Authenticator,4,0,0,0,1,0,1,0,1,0
Apache Sling API,org.apache.sling.spi.resource.provider,ResourceContext.new ResourceContext() {...},5,0,0,0,2,0,2,0,2,0
Apache Sling API,org.apache.sling.spi.resource.provider,ResourceContext,5,0,0,0,1,0,1,0,1,0
Apache Sling API,org.apache.sling.spi.resource.provider,ResourceProvider,62,0,2,0,26,0,22,0,21,0
Apache Sling API,org.apache.sling.api.security,AccessSecurityException,16,0,0,0,8,0,4,0,4,0
Apache Sling API,org.apache.sling.api.scripting,InvalidServiceFilterSyntaxException,18,0,0,0,7,0,3,0,3,0
Apache Sling API,org.apache.sling.api.scripting,SlingBindings,131,0,6,0,38,0,24,0,21,0
Apache Sling API,org.apache.sling.api.scripting,ScriptEvaluationException,18,0,0,0,7,0,3,0,3,0
Apache Sling API,org.apache.sling.api.scripting,SlingScriptConstants,3,0,0,0,1,0,1,0,1,0
Apache Sling API,org.apache.sling.api.resource.path,PathSet,72,250,10,28,14,56,10,25,5,11
Apache Sling API,org.apache.sling.api.resource.path,PathBuilder,0,114,0,22,0,17,0,14,0,3
Apache Sling API,org.apache.sling.api.resource.path,Path,51,319,7,56,9,76,10,33,3,8
Apache Sling API,org.apache.sling.api.wrappers,SlingHttpServletResponseWrapper,13,0,0,0,4,0,3,0,3,0
Apache Sling API,org.apache.sling.api.wrappers,ResourceResolverWrapper.ResourceIteratorWrapper,0,14,0,0,0,4,0,2,0,2
Apache Sling API,org.apache.sling.api.wrappers,SlingRequestPaths,71,0,12,0,12,0,13,0,7,0
Apache Sling API,org.apache.sling.api.wrappers,ModifiableValueMapDecorator,4,0,0,0,2,0,1,0,1,0
Apache Sling API,org.apache.sling.api.wrappers,SlingHttpServletRequestWrapper,88,0,0,0,20,0,19,0,19,0
Apache Sling API,org.apache.sling.api.wrappers,DeepReadValueMapDecorator,61,63,9,3,13,15,8,5,2,5
Apache Sling API,org.apache.sling.api.wrappers,ResourceResolverWrapper.new Iterable() {...},0,25,0,0,0,2,0,2,0,2
Apache Sling API,org.apache.sling.api.wrappers,CompositeValueMap,78,144,16,22,18,30,17,19,7,10
Apache Sling API,org.apache.sling.api.wrappers,DeepReadModifiableValueMapDecorator,5,0,0,0,2,0,1,0,1,0
Apache Sling API,org.apache.sling.api.wrappers,ResourceResolverWrapper.ResourceResolverResourceWrapper,2,18,1,1,1,6,1,3,0,3
Apache Sling API,org.apache.sling.api.wrappers,ValueMapDecorator,72,204,7,29,15,53,15,24,8,13
Apache Sling API,org.apache.sling.api.wrappers,IteratorWrapper,4,14,0,0,2,5,1,3,1,3
Apache Sling API,org.apache.sling.api.wrappers,ResourceResolverWrapper,0,202,0,0,0,42,0,33,0,33
Apache Sling API,org.apache.sling.api.resource,AbstractResource.new Iterable() {...},10,0,0,0,2,0,2,0,2,0
Apache Sling API,org.apache.sling.api.resource,AbstractResourceVisitor,25,0,4,0,10,0,5,0,3,0
Apache Sling API,org.apache.sling.api.resource,LoginException,16,0,0,0,8,0,4,0,4,0
Apache Sling API,org.apache.sling.api.resource,ResourceNotFoundException,40,0,0,0,11,0,5,0,5,0
Apache Sling API,org.apache.sling.api.resource,NonExistingResource,14,24,0,2,1,7,1,4,1,3
Apache Sling API,org.apache.sling.api.resource,ResourceMetadata,186,144,35,15,58,38,38,16,17,12
Apache Sling API,org.apache.sling.api.resource,ResourceWrapper,84,21,2,0,15,7,13,5,12,5
Apache Sling API,org.apache.sling.api.resource,AbstractResource,35,33,1,3,7,8,7,4,6,3
Apache Sling API,org.apache.sling.api.resource,ResourceUtil.new Iterator() {...},4,57,0,8,1,14,1,8,1,4
Apache Sling API,org.apache.sling.api.resource,ResourceResolver,0,11,0,0,0,1,0,1,0,1
Apache Sling API,org.apache.sling.api.resource,ValueMap,0,6,0,0,0,2,0,1,0,1
Apache Sling API,org.apache.sling.api.resource,SyntheticResource,40,30,0,0,10,10,4,4,4,4
Apache Sling API,org.apache.sling.api.resource,QuerySyntaxException,27,0,0,0,10,0,4,0,4,0
Apache Sling API,org.apache.sling.api.resource,ResourceUtil,264,354,39,69,76,94,33,44,11,12
Apache Sling API,org.apache.sling.api.resource,PersistenceException,41,0,0,0,13,0,6,0,6,0
Apache Sling API,org.apache.sling.api.resource,ResourceUtil.BatchResourceRemover,49,0,6,0,13,0,5,0,2,0
Apache Sling API,org.apache.sling.api.resource,ResourceProvider,4,0,0,0,1,0,1,0,1,0
Apache Sling API,org.apache.sling.api,SlingIOException,4,0,0,0,2,0,1,0,1,0
Apache Sling API,org.apache.sling.api,SlingServletException,4,0,0,0,2,0,1,0,1,0
Apache Sling API,org.apache.sling.api,SlingConstants,3,0,0,0,1,0,1,0,1,0
Apache Sling API,org.apache.sling.api,SlingException,0,16,0,0,0,8,0,4,0,4
Apache Sling API,org.apache.sling.api.resource.runtime.dto,FailureReason,48,0,0,0,4,0,4,0,4,0
Apache Sling API,org.apache.sling.api.resource.runtime.dto,ResourceProviderDTO,3,0,0,0,1,0,1,0,1,0
Apache Sling API,org.apache.sling.api.resource.runtime.dto,ResourceProviderFailureDTO,3,0,0,0,1,0,1,0,1,0
Apache Sling API,org.apache.sling.api.resource.runtime.dto,RuntimeDTO,3,0,0,0,1,0,1,0,1,0
Apache Sling API,org.apache.sling.api.resource.runtime.dto,AuthType,48,0,0,0,4,0,4,0,4,0
Apache Sling API,org.apache.sling.api.resource.observation,ResourceChange.ChangeType,68,0,0,0,6,0,4,0,4,0
Apache Sling API,org.apache.sling.api.resource.observation,ResourceChange,88,0,0,0,32,0,10,0,10,0
Apache Sling API,org.apache.sling.api.request,SlingRequestEvent,21,0,0,0,8,0,4,0,4,0
Apache Sling API,org.apache.sling.api.request,RecursionTooDeepException,4,0,0,0,2,0,1,0,1,0
Apache Sling API,org.apache.sling.api.request,RequestDispatcherOptions,37,78,9,13,13,18,12,9,6,4
Apache Sling API,org.apache.sling.api.request,ResponseUtil.XmlEscapingWriter,15,78,0,12,6,22,3,11,3,5
Apache Sling API,org.apache.sling.api.request,SlingRequestEvent.EventType,38,0,0,0,1,0,4,0,4,0
Apache Sling API,org.apache.sling.api.request,TooManyCallsException,4,0,0,0,2,0,1,0,1,0
Apache Sling API,org.apache.sling.api.request,ResponseUtil,5,72,1,13,2,17,2,8,1,2
Apache Sling API,org.apache.sling.api.request,RequestUtil,133,112,23,13,29,26,17,7,4,2
