Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated
Bug,CAMEL-10578,13026743,Default namespaces defined on SOAPEnvelope cause problems with CXF PAYLOAD mode,dkulp,dkulp,Major,Resolved,Fixed,2016-12-08 17:47,2016-12-09 16:07
Bug,CAMEL-11029,13056764,karaf - camel-cdi won't install,,bob.blackard,Minor,Resolved,Won't Fix,2017-03-16 19:10,2017-04-12 11:56
Bug,CAMEL-10782,13040087,SFTP: cannot get files from users home with readlock changed,davsclaus,StefanR,Minor,Resolved,Fixed,2017-02-03 9:56,2017-02-28 10:01
Bug,CAMEL-10476,13020538,configAdminFile not used to populate property placeholders in camel-test-blueprint when run via camel-maven-plugin,gzres,ryanco,Minor,Resolved,Fixed,2016-11-14 16:09,2016-12-16 8:10
Bug,CAMEL-10560,13025680,Add submittedFileName into AttachmentHttpBinding,fabryprog,fabryprog,Minor,Resolved,Fixed,2016-12-05 16:41,2016-12-06 8:56
Bug,CAMEL-10547,13024407,No Exception on invalid charset option,,MortenSN,Minor,Resolved,Cannot Reproduce,2016-11-30 11:56,2016-12-02 9:40
Bug,CAMEL-10539,13023667,When bridging http endpoints and end users do not enable the bridgeEndpoint option they may get a NPE exception,davsclaus,fwein,Minor,Resolved,Fixed,2016-11-28 9:07,2016-11-29 15:49
Bug,CAMEL-10492,13021507,"Camel Servlet, attachment object is empty",davsclaus,fabryprog,Minor,Resolved,Fixed,2016-11-17 16:52,2016-11-29 8:59
Bug,CAMEL-10534,13023486,camel-stream - Producer writing to stream url need to set doOutput=true,davsclaus,davsclaus,Minor,Resolved,Fixed,2016-11-26 8:49,2016-11-27 8:30
Bug,CAMEL-10533,13023483,AggregateController - Add forceDiscardOfGroup method,,davsclaus,Minor,Open,,2016-11-26 8:36,2016-11-26 8:38
Bug,CAMEL-10527,13023393,camel-mail - Option skipFailedMessage should catch all exceptions,davsclaus,davsclaus,Minor,Resolved,Fixed,2016-11-25 13:09,2016-11-25 13:15
Bug,CAMEL-10463,13019800,Update Camel Salesforce integration Bugs,davsclaus,zregvart,Minor,Resolved,Fixed,2016-11-10 11:04,2016-11-22 9:25
Bug,CAMEL-10213,12993926,"Camel Kafka doesn't support setting ""max.poll.records"" and ""session.timeout.ms"" ",davsclaus,OHolzma,Minor,Resolved,Fixed,2016-08-01 10:41,2016-11-21 15:56
Bug,CAMEL-10496,13021750,Component fails at runtime with exception with SpringBoot,,singram777,Minor,Resolved,Duplicate,2016-11-18 13:25,2016-11-21 9:44
Bug,CAMEL-10453,13019224,camel-elsql does not set CamelSqlUpdateCount header on update operation,ancosen,tturek,Minor,Resolved,Fixed,2016-11-08 14:39,2016-11-16 9:45
Bug,CAMEL-10470,13020054,camel-mail - Should allow to configure SimpleSearchTerm as plain POJO,davsclaus,davsclaus,Minor,Resolved,Fixed,2016-11-11 8:59,2016-11-11 9:03
Bug,CAMEL-10446,13018595,Need to consolidate header mapping logic between Camel and CXF messages,davsclaus,tadayosi,Minor,Resolved,Fixed,2016-11-05 12:33,2016-11-07 23:52
Bug,CAMEL-10449,13018847,Set CXF SoapAction header correctly,jpoth,jpoth,Minor,Resolved,Fixed,2016-11-07 14:28,2016-11-07 19:25
Bug,CAMEL-10443,13017610,findById does not work with ObjectId,davsclaus,nbusy,Minor,Resolved,Fixed,2016-11-03 12:24,2016-11-07 11:29
Bug,CAMEL-10429,13016864,CXFRS client requires Exchange.HTTP_URI instead of HTTP_PATH for Camel tranport,davsclaus,tadayosi,Minor,Resolved,Fixed,2016-11-01 11:14,2016-11-05 12:34
Bug,CAMEL-10442,13017584,Multicast leaks into Pipeline stages?,davsclaus,ecausarano,Minor,Resolved,Fixed,2016-11-03 10:36,2016-11-04 16:45
