Issue Type,Custom field (Patch Info),Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,CAMEL-11750,13100094,Camel route with multicast (parallel) generate huge CPU load,davsclaus,Nazar Vishka,Critical,Resolved,Fixed,2017-09-06 10:14,2017-09-11 9:54,
Bug,,CAMEL-11731,13099124,Servlet Component isn't really async,,nhoughto,Major,Open,,2017-09-01 1:34,2018-03-22 5:44,
Bug,,CAMEL-12120,13128293,ErrorHandler is closed after failure in RoutingSlip ,davsclaus,sycyhy,Major,Resolved,Fixed,2018-01-03 19:04,2018-01-05 11:41,
Bug,Patch Available,CAMEL-11472,13083083,[camel-box] missing Karaf feature dependency,ancosen,amarkevich,Major,Resolved,Fixed,2017-06-28 9:58,2017-09-26 1:00,
Bug,,CAMEL-11427,13081028,camel-leveldb does not work on Solaris -- no native code library and no Java fallback,gzres,gzres,Major,Resolved,Fixed,2017-06-20 7:23,2017-08-02 10:45,
Bug,,CAMEL-11551,13087888,Use abstract base class for all context and route events ,chris@die-schneider.net,chris@die-schneider.net,Major,Resolved,Fixed,2017-07-18 9:05,2017-07-19 7:41,
Bug,,CAMEL-11552,13087913,Provide FailureEvent interface as a general means of retrieving the cause,chris@die-schneider.net,chris@die-schneider.net,Major,Resolved,Fixed,2017-07-18 12:09,2017-07-19 7:41,
Bug,,CAMEL-11536,13086491,camelContext.getManagedCamelContext returns null in 2.18+,davsclaus,monti,Major,Resolved,Not A Problem,2017-07-12 7:21,2017-07-14 18:07,
Bug,,CAMEL-11477,13083368,Can not override isUseAdviceWith in CamelBlueprintTestSupport,davsclaus,saravanakumar,Major,Resolved,Fixed,2017-06-29 5:57,2017-06-29 11:43,
Bug,Patch Available,CAMEL-11409,13079706,"The time camel waits for a WriteFuture to complete is hard-coded 10 seconds, this should be configurable",zregvart,vandenbrink@zorgdomein.nl,Major,Resolved,Implemented,2017-06-14 9:13,2017-06-14 10:10,
Bug,,CAMEL-11399,13079393,ZooKeeperRoutePolicy only suspends and not stops JMSConsumer,davsclaus,alaendle,Major,Resolved,Fixed,2017-06-13 6:55,2017-06-14 5:41,
Bug,Patch Available,CAMEL-11394,13078838,Undertow endpoint option REUSE_ADDRESS is configured using the value for TCP_NO_DELAY,davsclaus,bhkho,Major,Resolved,Fixed,2017-06-10 6:48,2017-06-10 7:12,
Bug,Patch Available,CAMEL-11392,13078662,String to ByteBuffer conversion causes overflow due to multibyte chars,davsclaus,bhkho,Major,Resolved,Fixed,2017-06-09 16:29,2017-06-09 17:13,
Bug,,CAMEL-11371,13076169,Add note about spring-boot and TypeConverter file in camel docs,,ludvicekj,Major,Closed,Won't Fix,2017-05-31 12:07,2017-06-01 8:02,
