Issue Type,Custom field (Patch Info),Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,CAMEL-11987,13115814,,Camel-SalesForce DTO Issue while using camel-salesforce-maven,zregvart,srinivasks22,Blocker,Resolved,Fixed,2017-11-03 2:58,2017-11-13 20:58,
Bug,,CAMEL-12913,13195950,,Does camel disruptor hold processed messages?,,D001,Critical,Resolved,Invalid,2018-11-02 18:19,2018-11-02 18:45,
Bug,,CAMEL-12035,13120649,,Route attribute LastError is either Unavailable and shown as [object Object],,micheldf,Critical,Resolved,Invalid,2017-11-24 15:59,2017-11-24 17:28,
Bug,,CAMEL-12031,13120571,,KafkaConsumer stops consuming messages when exception occurs during offset commit,davsclaus,rgala,Major,Resolved,Fixed,2017-11-24 6:09,2019-03-05 10:00,
Bug,,CAMEL-11994,13116183,,Add call options to the camel-grpc component,,dmvolod,Major,Open,,2017-11-04 17:42,2019-01-31 14:08,
Bug,Patch Available,CAMEL-12969,13201658,,camel-core-osgi: Slow Memory Leak in OsgiServiceRegistry,davsclaus,bobpaulin,Major,Resolved,Fixed,2018-11-30 15:46,2018-12-30 19:38,
Bug,Patch Available,CAMEL-12987,13203243,,camel-core-osgi: OsgiServiceRegistry.onContextStop never gets called.,davsclaus,bobpaulin,Major,Resolved,Fixed,2018-12-09 2:58,2018-12-11 13:22,
Bug,,CAMEL-12727,13178648,,java.util.ConcurrentModificationException at org.apache.camel.impl.DefaultExchange.createProperties(DefaultExchange.java:550) in 2.20.1,davsclaus,boutblock,Major,Resolved,Fixed,2018-08-13 17:23,2018-08-27 11:58,
Bug,,CAMEL-12648,13171888,,ExchangeSentEvent not fired if no EventNotifier is accepting ExchangeSendingEvent,davsclaus,kgarner,Major,Resolved,Not A Problem,2018-07-13 1:58,2018-07-18 3:28,
Bug,,CAMEL-12550,13163172,,Camel-Twilio: Karaf feature is not working,ancosen,ancosen,Major,Resolved,Fixed,2018-05-31 14:31,2018-05-31 14:44,
Bug,,CAMEL-12359,13145846,,withAdvice() + weaveById() failing for global onException() route definitions,davsclaus,nkhalasi,Major,Resolved,Fixed,2018-03-16 20:12,2018-03-21 12:14,
Bug,,CAMEL-11956,13112581,,Support Spring 5.0.x,davsclaus,gnt,Major,Resolved,Fixed,2017-10-27 12:03,2018-03-21 7:49,
Bug,,CAMEL-12343,13144192,,Using DefautMessage() and GenericFileMessage() without CamelContext throw Exception,davsclaus,fhassak,Major,Resolved,Not A Bug,2018-03-12 0:17,2018-03-17 18:44,
Bug,,CAMEL-12324,13142918,,Issue:Camel rabbitmq publishes message to consumer exchange instead of publisher exchange,davsclaus,zohebp,Major,Closed,Not A Bug,2018-03-06 17:10,2018-03-07 9:18,
Bug,,CAMEL-11977,13115382,,MongoDB Tailable cursor consumer fails to stop on shutdown,ancosen,Igorko,Major,Resolved,Fixed,2017-11-01 15:17,2018-02-12 11:23,
Bug,,CAMEL-12228,13136223,,Print command fails in case of multiple copies,dmvolod,rvanderhallen,Major,Resolved,Fixed,2018-02-05 9:24,2018-02-06 6:50,
Bug,,CAMEL-11996,13116710,,RabbitConsumer could hang when RabbitMQ connection is lost and autoAck=false.,davsclaus,jmongard,Major,Resolved,Fixed,2017-11-07 15:33,2018-02-02 8:53,
Bug,,CAMEL-12211,13134570,,Idempotent on camel 2.20.0 and 2.20.1 allows duplication,davsclaus,pampanz,Major,Resolved,Duplicate,2018-01-29 21:35,2018-01-30 7:45,
Bug,,CAMEL-11940,13111381,,Automate update of online xsd on each release,,apupier,Major,Open,,2017-10-23 11:44,2018-01-23 12:30,
Bug,,CAMEL-12155,13131821,,Indicate Camel-Dozer major upgrade in Camel 2.20 release note and specify how to migrate,davsclaus,aurelien.pupier,Major,Resolved,Fixed,2018-01-18 9:11,2018-01-22 8:24,
Bug,,CAMEL-12134,13129821,,spring-boot: two camel contexts created when using xml configuration,nferraro,nferraro,Major,Resolved,Fixed,2018-01-10 11:14,2018-01-11 7:35,
Bug,,CAMEL-12120,13128293,,ErrorHandler is closed after failure in RoutingSlip ,davsclaus,sycyhy,Major,Resolved,Fixed,2018-01-03 19:04,2018-01-05 11:41,
Bug,,CAMEL-12113,13128191,,"Camel healthcheck spring-boot actuators don't honor ""endpoints.*.enabled"" property ",davsclaus,valdar,Major,Resolved,Fixed,2018-01-03 9:34,2018-01-03 11:30,
Bug,,CAMEL-12110,13128045,,KafkaConsumer swallows exceptions from org.apache.kafka.clients.consumer.KafkaConsumer constructor,davsclaus,lexsoto,Major,Resolved,Fixed,2018-01-02 18:42,2018-01-03 11:24,
